timestamp_utc,latitude,longitude,rainfall_mm_hr,rainfall_status,source_file,dataset,version
2015-12-01T02:30:00Z,13.049999237060547,80.25,3.7,VALID,3B-HHR.MS.MRG.3IMERG.20151201-S023000-E025959.0150.V07B.HDF5,GPM_3IMERGHH,V07B
2015-12-01T03:00:00Z,13.049999237060547,80.25,7.2,VALID,3B-HHR.MS.MRG.3IMERG.20151201-S030000-E032959.0180.V07B.HDF5,GPM_3IMERGHH,V07B
2015-12-01T03:30:00Z,13.049999237060547,80.25,9.26,VALID,3B-HHR.MS.MRG.3IMERG.20151201-S033000-E035959.0210.V07B.HDF5,GPM_3IMERGHH,V07B
2015-12-01T04:00:00Z,13.049999237060547,80.25,7.15,VALID,3B-HHR.MS.MRG.3IMERG.20151201-S040000-E042959.0240.V07B.HDF5,GPM_3IMERGHH,V07B
2015-12-01T04:30:00Z,13.049999237060547,80.25,7.7,VALID,3B-HHR.MS.MRG.3IMERG.20151201-S043000-E045959.0270.V07B.HDF5,GPM_3IMERGHH,V07B
2015-12-01T05:00:00Z,13.049999237060547,80.25,7.76,VALID,3B-HHR.MS.MRG.3IMERG.20151201-S050000-E052959.0300.V07B.HDF5,GPM_3IMERGHH,V07B
2015-12-01T05:30:00Z,13.049999237060547,80.25,9.55,VALID,3B-HHR.MS.MRG.3IMERG.20151201-S053000-E055959.0330.V07B.HDF5,GPM_3IMERGHH,V07B
2015-12-01T06:00:00Z,13.049999237060547,80.25,8.73,VALID,3B-HHR.MS.MRG.3IMERG.20151201-S060000-E062959.0360.V07B.HDF5,GPM_3IMERGHH,V07B
2015-12-01T06:30:00Z,13.049999237060547,80.25,8.59,VALID,3B-HHR.MS.MRG.3IMERG.20151201-S063000-E065959.0390.V07B.HDF5,GPM_3IMERGHH,V07B
2015-12-01T07:00:00Z,13.049999237060547,80.25,7.18,VALID,3B-HHR.MS.MRG.3IMERG.20151201-S070000-E072959.0420.V07B.HDF5,GPM_3IMERGHH,V07B
2015-12-01T07:30:00Z,13.049999237060547,80.25,8.34,VALID,3B-HHR.MS.MRG.3IMERG.20151201-S073000-E075959.0450.V07B.HDF5,GPM_3IMERGHH,V07B
2015-12-01T08:00:00Z,13.049999237060547,80.25,18.25,VALID,3B-HHR.MS.MRG.3IMERG.20151201-S080000-E082959.0480.V07B.HDF5,GPM_3IMERGHH,V07B
2015-12-01T08:30:00Z,13.049999237060547,80.25,17.23,VALID,3B-HHR.MS.MRG.3IMERG.20151201-S083000-E085959.0510.V07B.HDF5,GPM_3IMERGHH,V07B
2015-12-01T09:00:00Z,13.049999237060547,80.25,22.66,VALID,3B-HHR.MS.MRG.3IMERG.20151201-S090000-E092959.0540.V07B.HDF5,GPM_3IMERGHH,V07B
2015-12-01T09:30:00Z,13.049999237060547,80.25,9.79,VALID,3B-HHR.MS.MRG.3IMERG.20151201-S093000-E095959.0570.V07B.HDF5,GPM_3IMERGHH,V07B
2015-12-01T10:00:00Z,13.049999237060547,80.25,13.47,VALID,3B-HHR.MS.MRG.3IMERG.20151201-S100000-E102959.0600.V07B.HDF5,GPM_3IMERGHH,V07B
2015-12-01T10:30:00Z,13.049999237060547,80.25,10.69,VALID,3B-HHR.MS.MRG.3IMERG.20151201-S103000-E105959.0630.V07B.HDF5,GPM_3IMERGHH,V07B
